YEAR,MONTH,STATE,FIRES,MEETING_DATE
2015,JAN,Rio,51,2015-01-01
2016,JAN,Rio,68,2016-01-01
1999,FEB,Rio,35,1999-01-01
2000,FEB,Rio,43,2000-01-01
2001,FEB,Rio,32,2001-01-01
2002,FEB,Rio,38,2002-01-01
2003,FEB,Rio,13,2003-01-01
2004,FEB,Rio,52,2004-01-01
2005,FEB,Rio,36,2005-01-01
2006,FEB,Rio,34,2006-01-01
2007,FEB,Rio,24,2007-01-01
2008,FEB,Rio,30,2008-01-01
2009,FEB,Rio,15,2009-01-01
2010,FEB,Rio,23,2010-01-01
2011,FEB,Rio,26,2011-01-01
2012,FEB,Rio,39,2012-01-01
2013,FEB,Rio,43,2013-01-01
2014,FEB,Rio,37,2014-01-01
2015,FEB,Rio,41,2015-01-01
2016,FEB,Rio,55,2016-01-01
2017,FEB,Rio,31,2017-01-01
1999,MAR,Rio,38,1999-01-01
2000,MAR,Rio,51,2000-01-01
2001,MAR,Rio,11,2001-01-01
2002,MAR,Rio,26,2002-01-01
2003,MAR,Rio,27,2003-01-01
2004,MAR,Rio,149,2004-01-01
2005,MAR,Rio,153,2005-01-01
2006,MAR,Rio,76,2006-01-01
2007,MAR,Rio,0,2007-01-01
2008,MAR,Rio,38,2008-01-01
2009,MAR,Rio,41,2009-01-01
2010,MAR,Rio,21,2010-01-01
2011,MAR,Rio,31,2011-01-01
2012,MAR,Rio,50,2012-01-01
2013,MAR,Rio,44,2013-01-01
2014,MAR,Rio,58,2014-01-01
2015,MAR,Rio,108,2015-01-01
2016,MAR,Rio,30,2016-01-01
2017,MAR,Rio,34,2017-01-01
1999,APR,Rio,12,1999-01-01
2000,APR,Rio,1,2000-01-01
2001,APR,Rio,3,2001-01-01
2002,APR,Rio,6,2002-01-01
2003,APR,Rio,30,2003-01-01
2004,APR,Rio,98,2004-01-01
2005,APR,Rio,14,2005-01-01
2006,APR,Rio,59,2006-01-01
2007,APR,Rio,4,2007-01-01
2008,APR,Rio,110,2008-01-01
2009,APR,Rio,145,2009-01-01
2010,APR,Rio,72,2010-01-01
2011,APR,Rio,41,2011-01-01
2012,APR,Rio,41,2012-01-01
2013,APR,Rio,47,2013-01-01
2014,APR,Rio,60,2014-01-01
2015,APR,Rio,175,2015-01-01
2016,APR,Rio,32,2016-01-01
2017,APR,Rio,51,2017-01-01
1999,MAY,Rio,13,1999-01-01
2000,MAY,Rio,4,2000-01-01
2002,MAY,Rio,7,2002-01-01
2003,MAY,Rio,18,2003-01-01
2004,MAY,Rio,4,2004-01-01
2005,MAY,Rio,24,2005-01-01
2006,MAY,Rio,24,2006-01-01
2007,MAY,Rio,3,2007-01-01
2008,MAY,Rio,20,2008-01-01
2009,MAY,Rio,177,2009-01-01
2010,MAY,Rio,9,2010-01-01
2011,MAY,Rio,20,2011-01-01
2012,MAY,Rio,112,2012-01-01
2013,MAY,Rio,14,2013-01-01
2014,MAY,Rio,63,2014-01-01
2015,MAY,Rio,169,2015-01-01
2016,MAY,Rio,37,2016-01-01
2017,MAY,Rio,43,2017-01-01
1998,JUNE,Rio,0,1998-01-01
1999,JUNE,Rio,9,1999-01-01
2000,JUNE,Rio,0,2000-01-01
2001,JUNE,Rio,1,2001-01-01
2002,JUNE,Rio,4,2002-01-01
2003,JUNE,Rio,14,2003-01-01
2004,JUNE,Rio,52,2004-01-01
2005,JUNE,Rio,50,2005-01-01
2006,JUNE,Rio,7,2006-01-01
2007,JUNE,Rio,10,2007-01-01
2008,JUNE,Rio,16,2008-01-01
2009,JUNE,Rio,30,2009-01-01
2010,JUNE,Rio,4,2010-01-01
2011,JUNE,Rio,12,2011-01-01
2012,JUNE,Rio,86,2012-01-01
2013,JUNE,Rio,10,2013-01-01
2014,JUNE,Rio,62,2014-01-01
2015,JUNE,Rio,68,2015-01-01
2016,JUNE,Rio,261,2016-01-01
2017,JUNE,Rio,103,2017-01-01
1998,JULY,Rio,0,1998-01-01
1999,JULY,Rio,10,1999-01-01
2000,JULY,Rio,6,2000-01-01
2001,JULY,Rio,6,2001-01-01
2002,JULY,Rio,93,2002-01-01
2003,JULY,Rio,55,2003-01-01
2004,JULY,Rio,156,2004-01-01
2005,JULY,Rio,47,2005-01-01
2006,JULY,Rio,45,2006-01-01
2008,JULY,Rio,25,2008-01-01
2009,JULY,Rio,47,2009-01-01
2010,JULY,Rio,34,2010-01-01
2011,JULY,Rio,45,2011-01-01
2012,JULY,Rio,134,2012-01-01
2013,JULY,Rio,42,2013-01-01
2014,JULY,Rio,209,2014-01-01
2015,JULY,Rio,60,2015-01-01
2016,JULY,Rio,865,2016-01-01
2017,JULY,Rio,885,2017-01-01
1998,AUG,Rio,9,1998-01-01
1999,AUG,Rio,24,1999-01-01
2000,AUG,Rio,18,2000-01-01
2001,AUG,Rio,36,2001-01-01
2002,AUG,Rio,824,2002-01-01
2003,AUG,Rio,1,2003-01-01
2004,AUG,Rio,403,2004-01-01
2005,AUG,Rio,120,2005-01-01
2006,AUG,Rio,642,2006-01-01
2007,AUG,Rio,258,2007-01-01
2008,AUG,Rio,56,2008-01-01
2009,AUG,Rio,1,2009-01-01
2010,AUG,Rio,267,2010-01-01
2011,AUG,Rio,116,2011-01-01
2012,AUG,Rio,410,2012-01-01
2013,AUG,Rio,156,2013-01-01
2014,AUG,Rio,1,2014-01-01
2015,AUG,Rio,414,2015-01-01
2016,AUG,Rio,1,2016-01-01
2017,AUG,Rio,819,2017-01-01
1998,SEPT,Rio,60,1998-01-01
1999,SEPT,Rio,19,1999-01-01
2000,SEPT,Rio,27,2000-01-01
2001,SEPT,Rio,2,2001-01-01
2002,SEPT,Rio,226,2002-01-01
2003,SEPT,Rio,828,2003-01-01
2004,SEPT,Rio,431,2004-01-01
2005,SEPT,Rio,189,2005-01-01
2006,SEPT,Rio,444,2006-01-01
2007,SEPT,Rio,573,2007-01-01
2008,SEPT,Rio,97,2008-01-01
2009,SEPT,Rio,39,2009-01-01
2010,SEPT,Rio,250,2010-01-01
2011,SEPT,Rio,449,2011-01-01
2012,SEPT,Rio,113,2012-01-01
2013,SEPT,Rio,290,2013-01-01
2014,SEPT,Rio,224,2014-01-01
2015,SEPT,Rio,222,2015-01-01
2016,SEPT,Rio,628,2016-01-01
2017,SEPT,Rio,343,2017-01-01
1998,OCT,Rio,0,1998-01-01
1999,OCT,Rio,56,1999-01-01
2000,OCT,Rio,10,2000-01-01
2001,OCT,Rio,13,2001-01-01
2002,OCT,Rio,10,2002-01-01
2003,OCT,Rio,360,2003-01-01
2004,OCT,Rio,680,2004-01-01
2005,OCT,Rio,83,2005-01-01
2006,OCT,Rio,160,2006-01-01
2007,OCT,Rio,21,2007-01-01
2008,OCT,Rio,135,2008-01-01
2009,OCT,Rio,148,2009-01-01
2010,OCT,Rio,95,2010-01-01
2011,OCT,Rio,74,2011-01-01
2012,OCT,Rio,91,2012-01-01
2013,OCT,Rio,104,2013-01-01
2014,OCT,Rio,110,2014-01-01
2015,OCT,Rio,70,2015-01-01
2016,OCT,Rio,93,2016-01-01
2017,OCT,Rio,101,2017-01-01
1998,NOV,Rio,28,1998-01-01
1999,NOV,Rio,103,1999-01-01
2000,NOV,Rio,18,2000-01-01
2001,NOV,Rio,49,2001-01-01
2002,NOV,Rio,117,2002-01-01
2003,NOV,Rio,121,2003-01-01
2004,NOV,Rio,161,2004-01-01
2005,NOV,Rio,227,2005-01-01
2006,NOV,Rio,27,2006-01-01
2007,NOV,Rio,13,2007-01-01
2008,NOV,Rio,14,2008-01-01
2009,NOV,Rio,4,2009-01-01
2010,NOV,Rio,90,2010-01-01
2011,NOV,Rio,117,2011-01-01
2012,NOV,Rio,74,2012-01-01
2013,NOV,Rio,110,2013-01-01
2014,NOV,Rio,68,2014-01-01
2015,NOV,Rio,30,2015-01-01
2016,NOV,Rio,105,2016-01-01
2017,NOV,Rio,137,2017-01-01
1998,DEC,Rio,605,1998-01-01
1999,DEC,Rio,1,1999-01-01
2000,DEC,Rio,80,2000-01-01
2001,DEC,Rio,80,2001-01-01
2002,DEC,Rio,45,2002-01-01
2003,DEC,Rio,98,2003-01-01
2004,DEC,Rio,99,2004-01-01
2005,DEC,Rio,35,2005-01-01
2006,DEC,Rio,15,2006-01-01
2007,DEC,Rio,25,2007-01-01
2008,DEC,Rio,32,2008-01-01
2009,DEC,Rio,15,2009-01-01
2010,DEC,Rio,103,2010-01-01
2011,DEC,Rio,69,2011-01-01
2012,DEC,Rio,38,2012-01-01
2013,DEC,Rio,62,2013-01-01
2014,DEC,Rio,31,2014-01-01
2015,DEC,Rio,42,2015-01-01
2016,DEC,Rio,79,2016-01-01
1998,JAN,Rondonia,0,1998-01-01
1999,JAN,Rondonia,1,1999-01-01
2000,JAN,Rondonia,0,2000-01-01
2001,JAN,Rondonia,0,2001-01-01
2002,JAN,Rondonia,6,2002-01-01
2003,JAN,Rondonia,62,2003-01-01
2004,JAN,Rondonia,30,2004-01-01
2005,JAN,Rondonia,99,2005-01-01
2006,JAN,Rondonia,16,2006-01-01
2007,JAN,Rondonia,33,2007-01-01
2008,JAN,Rondonia,4,2008-01-01
2009,JAN,Rondonia,17,2009-01-01
2010,JAN,Rondonia,18,2010-01-01
2011,JAN,Rondonia,1,2011-01-01
2012,JAN,Rondonia,2,2012-01-01
2013,JAN,Rondonia,7,2013-01-01
2014,JAN,Rondonia,12,2014-01-01
2015,JAN,Rondonia,30,2015-01-01
2016,JAN,Rondonia,93,2016-01-01
2017,JAN,Rondonia,44,2017-01-01
1998,FEB,Rondonia,0,1998-01-01
1999,FEB,Rondonia,1,1999-01-01
2000,FEB,Rondonia,6,2000-01-01
2001,FEB,Rondonia,2,2001-01-01
2002,FEB,Rondonia,8,2002-01-01
2003,FEB,Rondonia,10,2003-01-01
2004,FEB,Rondonia,12,2004-01-01
2005,FEB,Rondonia,42,2005-01-01
2006,FEB,Rondonia,17,2006-01-01
2007,FEB,Rondonia,8,2007-01-01
2008,FEB,Rondonia,7,2008-01-01
2009,FEB,Rondonia,1,2009-01-01
2010,FEB,Rondonia,9,2010-01-01
2011,FEB,Rondonia,2,2011-01-01
2012,FEB,Rondonia,9,2012-01-01
2013,FEB,Rondonia,8,2013-01-01
2014,FEB,Rondonia,5,2014-01-01
2015,FEB,Rondonia,22,2015-01-01
2016,FEB,Rondonia,88,2016-01-01
2017,FEB,Rondonia,10,2017-01-01
1998,MAR,Rondonia,0,1998-01-01
1999,MAR,Rondonia,8,1999-01-01
2000,MAR,Rondonia,9,2000-01-01
2001,MAR,Rondonia,0,2001-01-01
2002,MAR,Rondonia,1,2002-01-01
2003,MAR,Rondonia,13,2003-01-01
2004,MAR,Rondonia,20,2004-01-01
2005,MAR,Rondonia,17,2005-01-01
2006,MAR,Rondonia,15,2006-01-01
2007,MAR,Rondonia,20,2007-01-01
2008,MAR,Rondonia,2,2008-01-01
2009,MAR,Rondonia,12,2009-01-01
2010,MAR,Rondonia,11,2010-01-01
2011,MAR,Rondonia,6,2011-01-01
2012,MAR,Rondonia,6,2012-01-01
2013,MAR,Rondonia,23,2013-01-01
2014,MAR,Rondonia,13,2014-01-01
2015,MAR,Rondonia,15,2015-01-01
2016,MAR,Rondonia,25,2016-01-01
2017,MAR,Rondonia,21,2017-01-01
1998,APR,Rondonia,0,1998-01-01
1999,APR,Rondonia,3,1999-01-01
2000,APR,Rondonia,0,2000-01-01
2001,APR,Rondonia,0,2001-01-01
2002,APR,Rondonia,3,2002-01-01
2003,APR,Rondonia,10,2003-01-01
2004,APR,Rondonia,14,2004-01-01
2005,APR,Rondonia,7,2005-01-01
2006,APR,Rondonia,0,2006-01-01
2007,APR,Rondonia,0,2007-01-01
2008,APR,Rondonia,8,2008-01-01
2009,APR,Rondonia,3,2009-01-01
2010,APR,Rondonia,19,2010-01-01
2011,APR,Rondonia,0,2011-01-01
2012,APR,Rondonia,12,2012-01-01
2013,APR,Rondonia,9,2013-01-01
2014,APR,Rondonia,15,2014-01-01
2015,APR,Rondonia,15,2015-01-01
2016,APR,Rondonia,59,2016-01-01
2017,APR,Rondonia,19,2017-01-01
1998,MAY,Rondonia,0,1998-01-01
1999,MAY,Rondonia,3,1999-01-01
2000,MAY,Rondonia,13,2000-01-01
2001,MAY,Rondonia,5,2001-01-01
2002,MAY,Rondonia,10,2002-01-01
2003,MAY,Rondonia,21,2003-01-01
2004,MAY,Rondonia,0,2004-01-01
2005,MAY,Rondonia,38,2005-01-01
2006,MAY,Rondonia,7,2006-01-01
2007,MAY,Rondonia,4,2007-01-01
2008,MAY,Rondonia,1,2008-01-01
2009,MAY,Rondonia,6,2009-01-01
2010,MAY,Rondonia,41,2010-01-01
2011,MAY,Rondonia,54,2011-01-01
2012,MAY,Rondonia,22,2012-01-01
2013,MAY,Rondonia,9,2013-01-01
2014,MAY,Rondonia,28,2014-01-01
2015,MAY,Rondonia,13,2015-01-01
2016,MAY,Rondonia,44,2016-01-01
2017,MAY,Rondonia,31,2017-01-01
1998,JUNE,Rondonia,26,1998-01-01
1999,JUNE,Rondonia,10,1999-01-01
2000,JUNE,Rondonia,54,2000-01-01
2001,JUNE,Rondonia,31,2001-01-01
2002,JUNE,Rondonia,141,2002-01-01
2003,JUNE,Rondonia,74,2003-01-01
2004,JUNE,Rondonia,151,2004-01-01
2005,JUNE,Rondonia,153,2005-01-01
2006,JUNE,Rondonia,40,2006-01-01
2007,JUNE,Rondonia,71,2007-01-01
2008,JUNE,Rondonia,11,2008-01-01
2009,JUNE,Rondonia,13,2009-01-01
2010,JUNE,Rondonia,0,2010-01-01
2011,JUNE,Rondonia,130,2011-01-01
2012,JUNE,Rondonia,32,2012-01-01
2013,JUNE,Rondonia,22,2013-01-01
2014,JUNE,Rondonia,92,2014-01-01
2015,JUNE,Rondonia,119,2015-01-01
2016,JUNE,Rondonia,170,2016-01-01
2017,JUNE,Rondonia,192,2017-01-01
1998,JULY,Rondonia,365,1998-01-01
1999,JULY,Rondonia,135,1999-01-01
2000,JULY,Rondonia,117,2000-01-01
2001,JULY,Rondonia,74,2001-01-01
2002,JULY,Rondonia,539,2002-01-01
2003,JULY,Rondonia,516,2003-01-01
2004,JULY,Rondonia,1,2004-01-01
2005,JULY,Rondonia,798,2005-01-01
2006,JULY,Rondonia,314,2006-01-01
2007,JULY,Rondonia,187,2007-01-01
2008,JULY,Rondonia,138,2008-01-01
2009,JULY,Rondonia,110,2009-01-01
2010,JULY,Rondonia,747,2010-01-01
2011,JULY,Rondonia,293,2011-01-01
2012,JULY,Rondonia,205,2012-01-01
2013,JULY,Rondonia,117,2013-01-01
2014,JULY,Rondonia,192,2014-01-01
2015,JULY,Rondonia,423,2015-01-01
2016,JULY,Rondonia,969,2016-01-01
2017,JULY,Rondonia,1,2017-01-01
1998,AUG,Rondonia,2,1998-01-01
1999,AUG,Rondonia,2,1999-01-01
2000,AUG,Rondonia,2,2000-01-01
2001,AUG,Rondonia,2,2001-01-01
2002,AUG,Rondonia,3,2002-01-01
2003,AUG,Rondonia,7,2003-01-01
2004,AUG,Rondonia,7,2004-01-01
2005,AUG,Rondonia,7,2005-01-01
2006,AUG,Rondonia,3,2006-01-01
2007,AUG,Rondonia,5,2007-01-01
2008,AUG,Rondonia,1,2008-01-01
2009,AUG,Rondonia,484,2009-01-01
2010,AUG,Rondonia,4,2010-01-01
2011,AUG,Rondonia,1,2011-01-01
2012,AUG,Rondonia,2,2012-01-01
2013,AUG,Rondonia,885,2013-01-01
2014,AUG,Rondonia,3,2014-01-01
2015,AUG,Rondonia,4,2015-01-01
2016,AUG,Rondonia,4,2016-01-01
2017,AUG,Rondonia,4,2017-01-01
1998,SEPT,Rondonia,4,1998-01-01
1999,SEPT,Rondonia,3,1999-01-01
2000,SEPT,Rondonia,2,2000-01-01
2001,SEPT,Rondonia,2,2001-01-01
2002,SEPT,Rondonia,7,2002-01-01
2003,SEPT,Rondonia,7,2003-01-01
2004,SEPT,Rondonia,13,2004-01-01
2005,SEPT,Rondonia,14,2005-01-01
2006,SEPT,Rondonia,10,2006-01-01
2007,SEPT,Rondonia,7,2007-01-01
2008,SEPT,Rondonia,4,2008-01-01
2009,SEPT,Rondonia,2,2009-01-01
2010,SEPT,Rondonia,5,2010-01-01
2011,SEPT,Rondonia,2,2011-01-01
2012,SEPT,Rondonia,2,2012-01-01
2013,SEPT,Rondonia,2,2013-01-01
2014,SEPT,Rondonia,3,2014-01-01
2015,SEPT,Rondonia,6,2015-01-01
2016,SEPT,Rondonia,4,2016-01-01
2017,SEPT,Rondonia,6,2017-01-01
1998,OCT,Rondonia,483,1998-01-01
1999,OCT,Rondonia,2,1999-01-01
2000,OCT,Rondonia,644,2000-01-01
2001,OCT,Rondonia,796,2001-01-01
2002,OCT,Rondonia,4,2002-01-01
2003,OCT,Rondonia,5,2003-01-01
2004,OCT,Rondonia,3,2004-01-01
2005,OCT,Rondonia,3,2005-01-01
2006,OCT,Rondonia,1,2006-01-01
2007,OCT,Rondonia,2,2007-01-01
2008,OCT,Rondonia,1,2008-01-01
2009,OCT,Rondonia,1,2009-01-01
2010,OCT,Rondonia,1,2010-01-01
2011,OCT,Rondonia,822,2011-01-01
2012,OCT,Rondonia,1,2012-01-01
2013,OCT,Rondonia,555,2013-01-01
2014,OCT,Rondonia,1,2014-01-01
2015,OCT,Rondonia,3,2015-01-01
2016,OCT,Rondonia,2,2016-01-01
2017,OCT,Rondonia,2,2017-01-01
1998,NOV,Rondonia,3,1998-01-01
1999,NOV,Rondonia,41,1999-01-01
2000,NOV,Rondonia,13,2000-01-01
2001,NOV,Rondonia,91,2001-01-01
2002,NOV,Rondonia,0,2002-01-01
2003,NOV,Rondonia,526,2003-01-01
2004,NOV,Rondonia,452,2004-01-01
2005,NOV,Rondonia,465,2005-01-01
2006,NOV,Rondonia,253,2006-01-01
2007,NOV,Rondonia,53,2007-01-01
2008,NOV,Rondonia,78,2008-01-01
2009,NOV,Rondonia,128,2009-01-01
2010,NOV,Rondonia,238,2010-01-01
2011,NOV,Rondonia,245,2011-01-01
2012,NOV,Rondonia,174,2012-01-01
2013,NOV,Rondonia,108,2013-01-01
2014,NOV,Rondonia,0,2014-01-01
2015,NOV,Rondonia,1,2015-01-01
2016,NOV,Rondonia,401,2016-01-01
2017,NOV,Rondonia,372,2017-01-01
1998,DEC,Rondonia,33,1998-01-01
1999,DEC,Rondonia,0,1999-01-01
2000,DEC,Rondonia,7,2000-01-01
2001,DEC,Rondonia,1,2001-01-01
2002,DEC,Rondonia,91,2002-01-01
2003,DEC,Rondonia,214,2003-01-01
2004,DEC,Rondonia,208,2004-01-01
2005,DEC,Rondonia,36,2005-01-01
2006,DEC,Rondonia,4,2006-01-01
2007,DEC,Rondonia,6,2007-01-01
2008,DEC,Rondonia,2,2008-01-01
2009,DEC,Rondonia,9,2009-01-01
2010,DEC,Rondonia,158,2010-01-01
2011,DEC,Rondonia,37,2011-01-01
2012,DEC,Rondonia,50,2012-01-01
2013,DEC,Rondonia,143,2013-01-01
2014,DEC,Rondonia,0,2014-01-01
2015,DEC,Rondonia,282,2015-01-01
2016,DEC,Rondonia,148,2016-01-01
1998,JAN,Roraima,0,1998-01-01
1999,JAN,Roraima,15,1999-01-01
2000,JAN,Roraima,18,2000-01-01
2001,JAN,Roraima,101,2001-01-01
2002,JAN,Roraima,302,2002-01-01
2003,JAN,Roraima,547,2003-01-01
2004,JAN,Roraima,355,2004-01-01
2005,JAN,Roraima,106,2005-01-01
2006,JAN,Roraima,70,2006-01-01
2007,JAN,Roraima,194,2007-01-01
2008,JAN,Roraima,245,2008-01-01
2009,JAN,Roraima,45,2009-01-01
2010,JAN,Roraima,351,2010-01-01
2011,JAN,Roraima,225,2011-01-01
2012,JAN,Roraima,217,2012-01-01
2013,JAN,Roraima,397,2013-01-01
2014,JAN,Roraima,355,2014-01-01
2015,JAN,Roraima,330,2015-01-01
2016,JAN,Roraima,2,2016-01-01
2017,JAN,Roraima,108,2017-01-01
1998,FEB,Roraima,0,1998-01-01
1999,FEB,Roraima,20,1999-01-01
2000,FEB,Roraima,57,2000-01-01
2001,FEB,Roraima,646,2001-01-01
2002,FEB,Roraima,476,2002-01-01
2003,FEB,Roraima,767,2003-01-01
2004,FEB,Roraima,259,2004-01-01
2005,FEB,Roraima,105,2005-01-01
2006,FEB,Roraima,283,2006-01-01
2007,FEB,Roraima,796,2007-01-01
2008,FEB,Roraima,138,2008-01-01
2009,FEB,Roraima,153,2009-01-01
2010,FEB,Roraima,0,2010-01-01
2011,FEB,Roraima,112,2011-01-01
2012,FEB,Roraima,130,2012-01-01
2013,FEB,Roraima,62,2013-01-01
2014,FEB,Roraima,226,2014-01-01
2015,FEB,Roraima,418,2015-01-01
2016,FEB,Roraima,171,2016-01-01
2017,FEB,Roraima,129,2017-01-01
1998,MAR,Roraima,0,1998-01-01
1999,MAR,Roraima,98,1999-01-01
2000,MAR,Roraima,125,2000-01-01
2001,MAR,Roraima,1,2001-01-01
2002,MAR,Roraima,820,2002-01-01
2003,MAR,Roraima,1,2003-01-01
2004,MAR,Roraima,276,2004-01-01
2005,MAR,Roraima,244,2005-01-01
2006,MAR,Roraima,385,2006-01-01
2007,MAR,Roraima,665,2007-01-01
2008,MAR,Roraima,422,2008-01-01
2009,MAR,Roraima,176,2009-01-01
2010,MAR,Roraima,417,2010-01-01
2011,MAR,Roraima,91,2011-01-01
2012,MAR,Roraima,99,2012-01-01
2013,MAR,Roraima,179,2013-01-01
2014,MAR,Roraima,494,2014-01-01
2015,MAR,Roraima,163,2015-01-01
2016,MAR,Roraima,1,2016-01-01
2017,MAR,Roraima,216,2017-01-01
1998,APR,Roraima,0,1998-01-01
1999,APR,Roraima,16,1999-01-01
2000,APR,Roraima,0,2000-01-01
2001,APR,Roraima,380,2001-01-01
2002,APR,Roraima,0,2002-01-01
2003,APR,Roraima,268,2003-01-01
2004,APR,Roraima,182,2004-01-01
2005,APR,Roraima,22,2005-01-01
2006,APR,Roraima,201,2006-01-01
2007,APR,Roraima,58,2007-01-01
2008,APR,Roraima,175,2008-01-01
2009,APR,Roraima,115,2009-01-01
2010,APR,Roraima,15,2010-01-01
2011,APR,Roraima,108,2011-01-01
2012,APR,Roraima,25,2012-01-01
2013,APR,Roraima,87,2013-01-01
2014,APR,Roraima,162,2014-01-01
2015,APR,Roraima,278,2015-01-01
2016,APR,Roraima,126,2016-01-01
2017,APR,Roraima,51,2017-01-01
1998,MAY,Roraima,0,1998-01-01
1999,MAY,Roraima,0,1999-01-01
2000,MAY,Roraima,7,2000-01-01
2001,MAY,Roraima,9,2001-01-01
2002,MAY,Roraima,0,2002-01-01
2003,MAY,Roraima,0,2003-01-01
2004,MAY,Roraima,2,2004-01-01
2005,MAY,Roraima,1,2005-01-01
2006,MAY,Roraima,0,2006-01-01
2007,MAY,Roraima,0,2007-01-01
2008,MAY,Roraima,8,2008-01-01
2009,MAY,Roraima,219,2009-01-01
2010,MAY,Roraima,3,2010-01-01
2011,MAY,Roraima,4,2011-01-01
2012,MAY,Roraima,18,2012-01-01
2013,MAY,Roraima,4,2013-01-01
2014,MAY,Roraima,58,2014-01-01
2015,MAY,Roraima,12,2015-01-01
2016,MAY,Roraima,22,2016-01-01
2017,MAY,Roraima,29,2017-01-01
1998,JUNE,Roraima,0,1998-01-01
1999,JUNE,Roraima,3,1999-01-01
2000,JUNE,Roraima,0,2000-01-01
2001,JUNE,Roraima,1,2001-01-01
2002,JUNE,Roraima,0,2002-01-01
2003,JUNE,Roraima,0,2003-01-01
2004,JUNE,Roraima,6,2004-01-01
2005,JUNE,Roraima,5,2005-01-01
2006,JUNE,Roraima,0,2006-01-01
2007,JUNE,Roraima,1,2007-01-01
2008,JUNE,Roraima,0,2008-01-01
2009,JUNE,Roraima,16,2009-01-01
2010,JUNE,Roraima,0,2010-01-01
2011,JUNE,Roraima,6,2011-01-01
2012,JUNE,Roraima,22,2012-01-01
2013,JUNE,Roraima,6,2013-01-01
2014,JUNE,Roraima,4,2014-01-01
2015,JUNE,Roraima,3,2015-01-01
2016,JUNE,Roraima,7,2016-01-01
2017,JUNE,Roraima,4,2017-01-01
1998,JULY,Roraima,1,1998-01-01
1999,JULY,Roraima,4,1999-01-01
2000,JULY,Roraima,0,2000-01-01
2001,JULY,Roraima,1,2001-01-01
2002,JULY,Roraima,7,2002-01-01
2003,JULY,Roraima,0,2003-01-01
2004,JULY,Roraima,2,2004-01-01
2005,JULY,Roraima,2,2005-01-01
2006,JULY,Roraima,0,2006-01-01
2007,JULY,Roraima,3,2007-01-01
2008,JULY,Roraima,0,2008-01-01
2009,JULY,Roraima,18,2009-01-01
2010,JULY,Roraima,1,2010-01-01
2011,JULY,Roraima,9,2011-01-01
2012,JULY,Roraima,2,2012-01-01
2013,JULY,Roraima,4,2013-01-01
2014,JULY,Roraima,9,2014-01-01
2015,JULY,Roraima,5,2015-01-01
2016,JULY,Roraima,0,2016-01-01
2017,JULY,Roraima,3,2017-01-01
1998,AUG,Roraima,0,1998-01-01
1999,AUG,Roraima,1,1999-01-01
2000,AUG,Roraima,9,2000-01-01
2001,AUG,Roraima,4,2001-01-01
2002,AUG,Roraima,7,2002-01-01
2003,AUG,Roraima,2,2003-01-01
2004,AUG,Roraima,18,2004-01-01
2005,AUG,Roraima,9,2005-01-01
2006,AUG,Roraima,4,2006-01-01
2007,AUG,Roraima,2,2007-01-01
2008,AUG,Roraima,0,2008-01-01
2009,AUG,Roraima,29,2009-01-01
2010,AUG,Roraima,3,2010-01-01
2011,AUG,Roraima,39,2011-01-01
2012,AUG,Roraima,4,2012-01-01
2013,AUG,Roraima,3,2013-01-01
2014,AUG,Roraima,12,2014-01-01
2015,AUG,Roraima,11,2015-01-01
2016,AUG,Roraima,11,2016-01-01
2017,AUG,Roraima,35,2017-01-01
1998,SEPT,Roraima,2,1998-01-01
1999,SEPT,Roraima,3,1999-01-01
2000,SEPT,Roraima,12,2000-01-01
2001,SEPT,Roraima,1,2001-01-01
2002,SEPT,Roraima,48,2002-01-01
2003,SEPT,Roraima,6,2003-01-01
2004,SEPT,Roraima,9,2004-01-01
2005,SEPT,Roraima,72,2005-01-01
2006,SEPT,Roraima,40,2006-01-01
2007,SEPT,Roraima,9,2007-01-01
2008,SEPT,Roraima,17,2008-01-01
2009,SEPT,Roraima,117,2009-01-01
2010,SEPT,Roraima,18,2010-01-01
2011,SEPT,Roraima,53,2011-01-01
2012,SEPT,Roraima,67,2012-01-01
2013,SEPT,Roraima,18,2013-01-01
2014,SEPT,Roraima,67,2014-01-01
2015,SEPT,Roraima,77,2015-01-01
2016,SEPT,Roraima,19,2016-01-01
2017,SEPT,Roraima,43,2017-01-01
1998,OCT,Roraima,1,1998-01-01
1999,OCT,Roraima,10,1999-01-01
2000,OCT,Roraima,25,2000-01-01
2001,OCT,Roraima,13,2001-01-01
2002,OCT,Roraima,191,2002-01-01
2003,OCT,Roraima,14,2003-01-01
2004,OCT,Roraima,53,2004-01-01
2005,OCT,Roraima,88,2005-01-01
2006,OCT,Roraima,135,2006-01-01
2007,OCT,Roraima,15,2007-01-01
2008,OCT,Roraima,78,2008-01-01
2009,OCT,Roraima,197,2009-01-01
2010,OCT,Roraima,64,2010-01-01
2011,OCT,Roraima,65,2011-01-01
2012,OCT,Roraima,152,2012-01-01
2013,OCT,Roraima,63,2013-01-01
2014,OCT,Roraima,61,2014-01-01
2015,OCT,Roraima,181,2015-01-01
2016,OCT,Roraima,101,2016-01-01
2017,OCT,Roraima,156,2017-01-01
1998,NOV,Roraima,1,1998-01-01
1999,NOV,Roraima,15,1999-01-01
2000,NOV,Roraima,32,2000-01-01
2001,NOV,Roraima,76,2001-01-01
2002,NOV,Roraima,133,2002-01-01
2003,NOV,Roraima,27,2003-01-01
2004,NOV,Roraima,135,2004-01-01
